TaxonName_org,TaxonTSN_org,TaxonName_nsOnly,TaxonTSN_nsOnly,TaxonNotes_nsOnly,TaxonName_nsOnly_intres,TaxonTSN_nsOnly_intres,TaxonName_nsNint_maxres,TaxonTSN_nsNint_maxres,TaxonName_nsNint_intres,TaxonTSN_nsNint_intres,SpecSSPGroup,Phylum/Division,CommonName,Synonyms,Citation,DataEntryStatus,DataEntryNotes
Bathyraja maculata,564263,Bathyraja maculata,564263,,Bathyraja maculata,564263,Bathyraja maculata,564263,Bathyraja maculata,564263,fish,Chordata,skate,,"Hoff, Britt. 2009. Results of the 2008 Eastern Bering Sea Upper Continental Slope Survey of Groundfish and Invertebrate Resources. NOAA Technical Memorandum NMFS-AFSC-197.",done,Prey very well covered;  several predators of skates recorded
Bathyraja minispinosa,564264,Bathyraja minispinosa,564264,,Bathyraja minispinosa,564264,Bathyraja minispinosa,564264,Bathyraja minispinosa,564264,fish,Chordata,skate,,OBISGBIF,done,OK prey data for this species; several predators of skates recorded
Bathyraja parmifera,160939,Bathyraja parmifera,160939,,Bathyraja parmifera,160939,Bathyraja parmifera,160939,Bathyraja parmifera,160939,fish,Chordata,skate,"Bathyraja rosispinis, Raia parmifera, Raia rosispinis, Raja parmifera, Raja rosispinis","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Prey very well covered; several predators of skates recorded
Bathyraja trachura,160942,Bathyraja trachura,160942,,Bathyraja trachura,160942,Bathyraja trachura,160942,Bathyraja trachura,160942,fish,Chordata,skate,"Bathyraja microtrachys, Raia trachura, Raja microtrachys, Raja trachura",OBISGBIF,done,Prey well covered; several predators of skates recorded
Benthopectinidae,156949,,dropped,,,dropped,,dropped,,dropped,star,Echinodermata,seastar,"Benthopectininae, Pararchasterinae",OBISGBIF,done,No data available
Berardius bairdii,180496,Berardius bairdii,180496,"High-resolution prey data for this species, no congener data, few natural predators.",Berardius bairdii,180496,Berardius bairdii,180496,Berardius bairdii,180496,mammal,Chordata,whale,"Berardius bairdi, Berardius vegae",OBISGBIF,done,"Good squid prey data from a single paper - fish prey not well characterized; no pred data, but probably few natural predators"
Beringius behringi,567278,Buccinidae,73726,"Lumping to family adds a bunch of pred and prey data, although some detail is lost from the genera Buccinum and Neptunea. All true whelks are carnivores and scavengers, and most common spp. in database are similar in size.",Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,Few prey and one predator listed for congener B. kennicotti
Beringius crebricostatus,73876,Buccinidae,73726,,Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,Few prey and one predator listed for congener B. kennicotti
Beringius hertleini,no TSN,Buccinidae,73726,,Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,Few prey and one predator listed for congener B. kennicotti
Beringius kennicotti,73878,Buccinidae,73726,,Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,Few prey and one predator listed
Beringobdella rectangulata,69349,,dropped,No data for this species or genus.,,dropped,,dropped,,dropped,worm,Annelida,leech,,OBISGBIF,done,No data available
Berryteuthis anonychus,556353,Berryteuthis anonychus,556353,Planktivore; good species- or genus-specific prey data; also fairly good predator data. Almost all predator data for the genus Berryteuthis lists particular species of Berryteuthis.,Berryteuthis anonychus,556353,Berryteuthis anonychus,556353,Berryteuthis anonychus,556353,squid,Mollusca,squid,,Uchikawa et al. 2004 - Fisheries Bulletin,done,Good predator and prey data from a few papers
Berryteuthis magister,82430,Berryteuthis magister,82430,Planktivore; good species- or genus-specific prey data; also fairly good predator data. Almost all predator data for the genus Berryteuthis lists particular species of Berryteuthis.,Berryteuthis magister,82430,Berryteuthis magister,82430,Berryteuthis magister,82430,squid,Mollusca,squid,,"Nesis, 1997. Gonatid Squids in the Subarctic North Pacific: Ecology. Biogeography. Niche Diversity and Role in the Ecosystem. Advances in Marine Biology 32: 243-324",done,"Good predator, prey, and parasite data"
Biofilm complex,san272,Biofilm Complex,san272,Includes periphyton (make sure periphyton complex data is added with updated ver.out table),Biofilm Complex,san272,Biofilm Complex,san272,Biofilm Complex,san272,biofilm,basal,biofilm/periphyton,,Common sense.,done,
Blepsias bilobus,167220,,dropped,Insufficient data.,,dropped,,dropped,,dropped,fish,Chordata,sea raven,Histiocottus bilobus,OBISGBIF,done,One prey for congener B. cirrhosus and two predators listed for this species
Blepsias cirrhosus,167221,,dropped,Insufficient data.,,dropped,,dropped,,dropped,fish,Chordata,sculpin,"Blepsias draciscus, Blepsias trilobus, Trachinus cirrhosus",OBISGBIF,done,One species-specific prey and one species specific predator; a few more predators for congener B. bilobus; some additional prey for congener of synonym Trachinus
Boltenia echinata,159487,Boltenia,159484,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,Boltenia,159484,,drop,tunicate,Chordata,tunicate,"Ascidia echinata, Ascidia hirsuta, Boltenia arctica, Boltenia hirsuta, Cynthia arctica, Cynthia echinata, Cynthia hirsuta, Halocynthia arctica, Halocynthia echinata, Microcosumus echinatus, Pyura arctica, Pyura echinata",OBISGBIF,done,Some low-resolution prey data and some predator data for congener B. villosa and some additional data for congeners of synonyms
Boltenia ovifera,159485,Boltenia,159484,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,Boltenia,159484,,drop,tunicate,Chordata,tunicate,"Ascidia clavata, Ascidia globifera, Boltenia beringia, Boltenia bolteni, Boltenia burkhardti, Boltenia ciliata, Boltenia clavata, Boltenia elegans, Boltenia fusiformis, Boltenia microcosmus, Boltenia reniformis, Boltenia rubra, Boltenia thompsoni, Pyura ovifera, Pyura thompsoni, Vorticella bolteni, Vorticella ovifera",OBISGBIF,done,Some low-resolution prey data and some predator data for congener B. villosa and some additional data for congeners of synonyms
Bonelliopsis alaskana,154993,Echiura,154972,This is the only sp. of Echiuran listed for Sanak - most data is for species within the family Echiuridae. All echiurans are benthic burrowers that filter feed.,Echiura,154972,Echiura,154972,Echiura,154972,worm,Echiura,echiuran,,OBISGBIF,done,No data available
Bopyroides hippolytes,93125,Bopyridae,93108,Some data for this family.,Bopyridae,93108,Bopyridae,93108,Bopyridae,93108,isopod,Arthropoda,isopod,Bopyrus hippolytes,OBISGBIF,done,No data available
Boreogadus saida,164706,Boreogadus saida,164706,"Great high-resolution predator data; some prey data is fairly low-resolution, but probably ok. Only one species in the genus Boreogadus.",Boreogadus saida,164706,Boreogadus saida,164706,Boreogadus saida,164706,fish,Chordata,cod,"Boreogadus polaris, Gadus agilis, Gadus fabricii, Gadus saida, Merlangus polaris, Pollachius polaris","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Prey and predators fairly well-covered
Boreotrophon coronatus,567288,,dropped,"Insufficient data for this genus, and lumping to family would eliminate the great detailed data fro Nucella and Thais.",,dropped,,dropped,,dropped,whelk,Mollusca,gastropod,,OBISGBIF,done,No prey and one predator for a congener
Boreotrophon truncatus,73335,,dropped,,,dropped,,dropped,,dropped,whelk,Mollusca,gastropod,"Buccinum truncatum, Trophon truncatus",OBISGBIF,done,No prey and one predator for a congener; some additional pred and prey data for congener of synonym Buccinum
Bossiella,12441,Bossiella,12441,,Bossiella,12441,Bossiella,12441,Bossiella,12441,red alga,Rhodophyta,seaweed,,Intertidal web,done,Low intertidal and shallow subtidal.
Bothrocara brunneum,165219,Bothrocara,165218,"All prey data is for this species, but lumping adds a few predators.",Bothrocara,165218,Bothrocara,165218,Bothrocara,165218,fish,Chordata,eelpout,"Bothrocaropsis rictolata, Maynea brunnea","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Good prey data; one species-specific predator entry and two additional predators for congeners
Bothrocara pusillum,165221,Bothrocara,165218,,Bothrocara,165218,Bothrocara,165218,Bothrocara,165218,fish,Chordata,eelpout,"Bothrocara pusilla, Maynea pusilla",OBISGBIF,done,Good prey data for congener B. brunneum; a few predator entries for congeners
Bougainvillia superciliaris,48767,Hydrozoa,48739,"Some genus-specific data is lost, but lots of predator data lists only ""hydrozoa"".",Hydrozoa,48739,Hydrozoa,48739,Hydrozoa,48739,hydroid,Cnidaria,hydroid,Bougainvillia paradoxa,OBISGBIF,done,One prey entry (plankton); a few predators for this genus
Brachidontes matchgaransis,no TSN,,dropped,Insufficient data.,,dropped,,dropped,,dropped,bivalve,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); a few predators for congeners
Brachiopoda,156755,Brachiopoda,156755,dropped in lieu of Terebratalia transversa in intertidal web,,drop,,drop,,drop,brachiopod,Brachiopoda,brachiopod,,OBISGBIF,done,Some data for particular Brachiopod species
Brachyphallus crenatus,55717,Brachyphallus crenatus,55717,"Good high-resolution host data for this species. No additional data for congeners, and since it's a parasite it's probably best to stick with species-specific links anyway.",Brachyphallus crenatus,55717,Brachyphallus crenatus,55717,Brachyphallus crenatus,55717,worm,Platyhelminthes,parasitic digenean,,"Moles, Heintz. 2007. PARASITES OF FORAGE FISHES IN THE VICINITY OF STELLER SEA LION (EUMETOPIAS JUBATUS) HABITAT IN ALASKA. Journal of Wildlife Diseases. ",done,Good host data
Brada villosa,67227,Flabelligeridae,67224,,Flabelligeridae,67224,Flabelligeridae,67224,Flabelligeridae,67224,worm,Annelida,polychaete,"Brada parthenopeia, Brada pilosa, Brada setosa, Siphonostoma villosum",OBISGBIF,done,One predator and no prey
Brisaster latifrons,158082,,dropped,Insufficient data.,,dropped,,dropped,,dropped,star,Echinodermata,seastar,,OBISGBIF,done,A little prey data and one predator entry for the genus
Bryozoichthys lysimus,171575,,dropped,Half of prey lost by lumping/splitting crustaceans and molluscs.,,dropped,,dropped,,dropped,fish,Chordata,prickleback,Bryolophus lysimus,OBISGBIF,done,"Some prey data, no predator data available"
Buccinum planeticum,73774,Buccinidae,73726,"Lumping to family adds a bunch of pred and prey data, although some detail is lost from the genera Buccinum and Neptunea. All true whelks are carnivores and scavengers, and most common spp. in database are similar in size.",Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,"Good predator and prey data for congeners, but no species-specific data"
Bulbus fragilis,72909,Naticidae,72878,Lumping to family adds a bunch of non-local species with local predators; all Naticids are predators on molluscs.,Naticidae,72878,Naticidae,72878,Naticidae,72878,snail,Mollusca,gastropod,,OBISGBIF,done,No data available
Byblis,93361,Gammaridea,93295,"Lumping to suborder increases pred links substantially. Also, there are a bunch of other genera in this suborder that are probably present off Sanak but have no distributional data to substantiate their inclusion in the list.",Gammaridea,93295,Gammaridea,93295,Gammaridea,93295,amphipod,Arthropoda,amphipod,,"Cadien. 2004. Ampeliscoidea of the NEP (Equator to Aleutians, intertidal to abyss): a review.",done,
Calanus marshallae,85268,Calanus,85263,Much of the data for this genus is either not species-specific or for other species of Calanus.,,drop,Calanus,85263,,drop,copepod,Arthropoda,copepod,,OBISGBIF,done,No species-specific prey data but good data for this genus; good species-specific predator data
Calanus pacificus,85269,Calanus,85263,Much of the data for this genus is either not species-specific or for other species of Calanus.,,drop,Calanus,85263,,drop,copepod,Arthropoda,copepod,,OBISGBIF,done,Great species-specific prey data; good species-specific predator data and more for this genus
Callorhinus ursinus,180627,Callorhinus ursinus,180627,Great species-specific prey data.,Callorhinus ursinus,180627,Callorhinus ursinus,180627,Callorhinus ursinus,180627,mammal,Chordata,seal,,,done,"Great prey data, only predators humans and orcas"
Calycomonas ovalis,1750,Chrysophyta,1447,No data for this species or genus or synonym; is included in Chrysophyta and there is no cost to lumping to Division vs. Family.,Chrysophyta,1447,Chrysophyta,1447,Chrysophyta,1447,phytoplankton,Chrysophyta,golden alga,Paulinella ovalis,NOAA World Ocean Database,done,No data available
Calyptraea alaskana,no TSN,,dropped,"Insufficient data for the genus; most data for family is for Crepidula, which is on the list.",,dropped,,dropped,,dropped,snail,Mollusca,gastropod,,OBISGBIF,done,"No data available for species, some predator data for others of the genus"
Calyptrosphaera,2199,Prymnesiophyceae,2135,"No data for this genus, but lumping to family adds pred links.",Prymnesiophyceae,2135,Prymnesiophyceae,2135,Prymnesiophyceae,2135,phytoplankton,Haptophyta,haptophyte,,OBISGBIF,done,No data available
Cancer magister,98675,Cancer,98671,"It is a shame to lump this species, as there is a lot of species-specific pred and prey data, but splitting would lose ~20 local predators, and several other species in this genus supplement the prey links.",Cancer,98671,Cancer,98671,Cancer,98671,crab,Arthropoda,crab,Metacarcinus magister,OBISGBIF,done,"Great prey data, predators also well covered"
Cancer oregonensis,98677,Cancer,98671,,Cancer,98671,Cancer,98671,Cancer,98671,crab,Arthropoda,crab,,OBISGBIF,done,"Fair prey coverage (lots of prey data for congeners C. magister, gracilis, and productus); predators well-covered"
Capitella capitata,67415,Capitellidae,67413,,Capitellidae,67413,Capitellidae,67413,Capitellidae,67413,worm,Annelida,polychaete,"Ancistria acuta, Capitella fabricii, Capitella prototypa, Capitella similis, Lombricus canalium, Lombriconais marina, Lumbricus capitatus, Lumbricus litoralis, Matla bengalensis, Saenuris barbata, Valla ciliata",OBISGBIF,done,Fair prey data for this genus; good predator data for this species
Caprella mutica,656389,Caprellidae,95375,"There is OK pred and prey data for Caprella, but many entries for Caprellidea and Caprellidae would be lost by splitting to genus. Probably better to lump anyway, since distributional data for this species is a bit shaky (the paper in the Citation column is the first documented presence in AK), but there are definitely caprellids off of Sanak and they are eaten by a lot of fish.",Caprellidae,95375,Caprellidae,95375,Caprellidae,95375,amphipod,Arthropoda,amphipod,Caprella macho,Ashton et al. 2008. First non-native crustacean established in coastal waters of Alaska. Aquatic Biology (3): 133-137.,done,
