TaxonName_org,TaxonTSN_org,TaxonName_nsOnly,TaxonTSN_nsOnly,TaxonNotes_nsOnly,TaxonName_nsOnly_intres,TaxonTSN_nsOnly_intres,TaxonName_nsNint_maxres,TaxonTSN_nsNint_maxres,TaxonName_nsNint_intres,TaxonTSN_nsNint_intres,SpecSSPGroup,Phylum/Division,CommonName,Synonyms,Citation,DataEntryStatus,DataEntryNotes
Euchone hancocki,68100,Sabellidae,68076,,Sabellidae,68076,Sabellidae,68076,Sabellidae,68076,worm,Annelida,polychaete,,OBISGBIF,done,No species-specific prey or predator data available; one prey item and a few predators listed for congeners
Eudistoma,158908,Clavelinidae,158857,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,Clavelinidae,158857,,drop,tunicate,Chordata,tunicate,"Distoma, Paessleria",OBISGBIF,done,No prey and one predator
Eukrohnia hamata,158691,Chaetognatha,158650,Much more pred data when lumped to phylum.,Chaetognatha,158650,Chaetognatha,158650,Chaetognatha,158650,worm,Chaetognatha,chaetognath,Eukrohnia borealis,NOAA World Ocean Database,done,Some species specific prey (mostly low-resolution); a few predators listed
Eumetopias jubatus,180625,Eumetopias jubatus,180625,,Eumetopias jubatus,180625,Eumetopias jubatus,180625,Eumetopias jubatus,180625,mammal,Chordata,sea lion,,"Tollit, Schulze, Trites, Olesiuk, Crockford, Gelatt, Ream, Miller. 2009. Development and application of DNA techniques for validating and improving pinniped diet estimates. Ecological Applications.",done,"Lots of prey data; a few predators, but probably few natural predators"
Eumicrotremus barbatus,167539,Eumicrotremus,167537,"Lumpsuckers in this genus are generally all small, slow, and benthic, probably with similar predators and prey.",Eumicrotremus,167537,Eumicrotremus,167537,Eumicrotremus,167537,fish,Chordata,lumpsucker,Cyclopteropsis barbatus,OBISGBIF,done,No species-specific data but some low-resolution prey and predator data for a few congeners 
Eumicrotremus orbis,167543,Eumicrotremus,167537,,Eumicrotremus,167537,Eumicrotremus,167537,Eumicrotremus,167537,fish,Chordata,lumpsucker,"Cyclopterus orbis, Eumicrotremis togedango, Lethotremus vinolentus","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,One species-specific prey item and some additional low-resolution prey data for congener Eumicrotremus soldatovi; some species-specific predator data and some additional data for congeners (search synonyms)
Eumicrotremus phrynoides,643980,Eumicrotremus,167537,,Eumicrotremus,167537,Eumicrotremus,167537,Eumicrotremus,167537,fish,Chordata,lumpsucker,"Cyclopterocottus phrynoides, Cyclopteropsis phrynoides",OBISGBIF,done,No species-specific data but some low-resolution prey and predator data for a few congeners
Eumorphocorystes,no TSN,,dropped,"No data for this genus (also, not in ITIS).",,dropped,,dropped,,dropped,crab,Arthropoda,crab,,OBISGBIF,done,No data available
Euphausia calyptopis,no TSN,Euphausia,95501,"About 20 predator links would be gained by lumping the Euphausiacea, but there is tons of species-specific data that would be lost.",Euphausiidae,95500,Euphausia,95501,Euphausiidae,95500,euphausiid,Arthropoda,krill,,OBISGBIF,done,No species-specific prey or predators but lots of data for several congeners
Euphausia pacifica,95502,Euphausia,95501,,Euphausiidae,95500,Euphausia,95501,Euphausiidae,95500,euphausiid,Arthropoda,krill,,OBISGBIF,done,"Good species-specific prey data and additional data for several congeners, but mostly fairly low resolution; great predator data for this species and for euphausiids in general"
Euphrosinidae,65205,,dropped,Insufficient data.,,dropped,,dropped,,dropped,worm,Annelida,polychaete,,OBISGBIF,done,No prey data available; one predator for this family
